keyword,search_volume,difficulty,intent,topic_cluster,priority,word_count,estimated_cpc,competition,language
"crane truck financing Malaysia",28,low,commercial,specialized-construction,medium,5,8.40,low,en
"boom truck financing Malaysia",25,low,commercial,specialized-construction,medium,5,8.20,low,en
"equipment financing for towing service",30,low,commercial,specialized-construction,high,6,8.40,low,en
"specialized transport equipment financing",25,low,commercial,specialized-construction,medium,5,8.00,low,en
"niche construction equipment loan",20,low,commercial,specialized-construction,medium,5,7.80,low,en
"helicopter financing Malaysia",15,medium,commercial,aviation,low,4,12.00,medium,en
"aircraft financing Malaysia",22,low,commercial,aviation,low,4,11.50,medium,en
"aviation equipment financing",18,low,commercial,aviation,low,4,11.00,medium,en
"Robinson R66 financing Malaysia",8,low,commercial,aviation,low,5,12.50,low,en
"used helicopter financing Malaysia",12,low,commercial,aviation,low,5,11.80,low,en
"helicopter financing offshore contract",10,low,commercial,aviation,low,5,13.00,medium,en
"aviation equipment loan RM 3 million",6,low,commercial,aviation,low,7,12.80,low,en
"helicopter financing Petronas contract",5,low,transactional,aviation,low,5,14.00,medium,en
"aircraft financing offshore oil gas",8,low,commercial,aviation,low,6,13.20,medium,en
"helicopter financing aerial survey business",6,low,commercial,aviation,low,6,12.40,low,en
"aviation financing CAAM approved",8,low,commercial,aviation,low,5,12.20,low,en
"helicopter financing for tourism business",10,low,commercial,aviation,low,6,11.80,low,en
"light aircraft financing Malaysia",12,low,commercial,aviation,low,5,11.40,low,en
"small plane financing offshore",8,low,commercial,aviation,low,5,12.60,medium,en
"helicopter leasing vs purchase Malaysia",10,low,informational,aviation,low,6,11.80,low,en
"aviation financing for charter business",8,low,commercial,aviation,low,6,12.40,low,en
"helicopter financing emergency medical",6,low,commercial,aviation,low,5,13.20,medium,en
"offshore support vessel helicopter financing",5,low,commercial,aviation,low,6,14.20,medium,en
"aerial survey equipment financing",8,low,commercial,aviation,low,5,12.00,low,en
"tourism helicopter financing Langkawi",6,low,commercial,aviation,low,5,12.60,low,en
"corporate helicopter financing Malaysia",8,low,commercial,aviation,low,5,13.00,medium,en
"helicopter financing for pilot training school",5,low,commercial,aviation,low,7,11.80,low,en
